                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81881,                 1.3425,                 1.1838,                0.03547,                0.83333,                0.70849,                0.46656,                 1.2024,                 2.4646,                  1.518,             0.00045111,             0.00045111,             0.00045111
                     36,                 1.2304,                 2.2043,                 1.4115,                0.03547,                0.83333,                0.70849,                0.46656,                 1.2024,                 2.4646,                  1.518,             0.00045745,             0.00045745,             0.00045745
                     37,                0.83897,                 1.3626,                 1.1242,                0.35548,                0.83333,                 0.7837,                0.49739,                 1.1428,                 2.3655,                 1.4467,             0.00046339,             0.00046339,             0.00046339
                     38,                0.98614,                  1.481,                 1.1096,                0.35548,                0.83333,                 0.7837,                0.49739,                 1.1428,                 2.3655,                 1.4467,             0.00046894,             0.00046894,             0.00046894
                     39,                 1.0434,                 1.7031,                 1.2576,                0.65529,                0.83333,                0.84127,                0.58178,                0.98774,                 2.2744,                 1.2694,             0.00047409,             0.00047409,             0.00047409
                     40,                 1.0273,                 1.5532,                 1.2022,                0.65529,                0.83333,                0.84127,                0.58178,                0.98774,                 2.2744,                 1.2694,             0.00047884,             0.00047884,             0.00047884
                     41,                0.72187,                 1.2065,                 1.0205,                      1,                0.76546,                0.84082,                0.59685,                0.97231,                 2.2766,                   1.26,              0.0004832,              0.0004832,              0.0004832
                     42,                0.85912,                 1.3553,                 1.1526,                      1,                0.76546,                0.84082,                0.59685,                0.97231,                 2.2766,                   1.26,             0.00048716,             0.00048716,             0.00048716
                     43,                0.83881,                 1.1735,                 1.0959,                0.82659,                0.66667,                0.81252,                0.68772,                0.93573,                 2.1168,                 1.0904,             0.00049073,             0.00049073,             0.00049073
                     44,                0.81336,                 1.1435,                 1.0899,                0.82659,                0.66667,                0.81252,                0.68772,                0.93573,                 2.1168,                 1.0904,              0.0004939,              0.0004939,              0.0004939
                     45,                0.89181,                 1.3076,                 1.2434,                0.70783,                0.41565,                 0.7582,                0.58478,                0.99465,                  2.104,                 1.1041,             0.00049667,             0.00049667,             0.00049667
                     46,                0.75997,                 1.7339,                 1.0736,                0.70783,                0.41565,                 0.7582,                0.58478,                0.99465,                  2.104,                 1.1041,             0.00049905,             0.00049905,             0.00049905
                     47,                0.73643,                 1.1231,                 1.0174,                0.70069,                0.33333,                 0.6998,                0.55225,                 1.0692,                 2.0254,                  1.179,             0.00050103,             0.00050103,             0.00050103
                     48,                0.79842,                 1.0208,                 1.0247,                0.70069,                0.33333,                 0.6998,                0.55225,                 1.0692,                 2.0254,                  1.179,             0.00050262,             0.00050262,             0.00050262
                     49,                0.81898,                 1.5616,                 1.1544,                      1,                0.49782,                0.73211,                0.57701,                0.98535,                 1.8935,                 1.3495,             0.00050381,             0.00050381,             0.00050381
                     50,                0.71252,                 1.2031,                 1.0703,                      1,                0.49782,                0.73211,                0.57701,                0.98535,                 1.8935,                 1.3495,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.1759,                 1.4634,                 1.1821,                0.83983,                0.66667,                0.79305,                0.61889,                 1.0067,                 1.7461,                 1.3422,               0.000505,               0.000505,               0.000505
                     52,                0.86259,                 1.3716,                 1.1653,                0.83983,                0.66667,                0.79305,                0.61889,                 1.0067,                 1.7461,                 1.3422,               0.000505,               0.000505,               0.000505
                     53,                0.79091,                 1.2037,                0.98374,                0.83983,                0.66667,                0.79305,                0.61889,                 1.0067,                 1.7461,                 1.3422,             0.00050461,             0.00050461,             0.00050461
                     54,                0.63557,                 1.1149,                 1.0013,                      1,                0.76883,                0.84127,                0.73728,                0.79333,                 1.7246,                0.96095,             0.00050382,             0.00050382,             0.00050382
                     55,                0.83174,                 1.8044,                 1.0492,                      1,                0.76883,                0.84127,                0.73728,                0.79333,                 1.7246,                0.96095,             0.00050263,             0.00050263,             0.00050263
